Original Token,Is Stopword,Lemmatized Token,Stemmed Token,POS Tag
The,True,The,the,DT
movie,False,movie,movi,NN
was,True,wa,wa,VBD
fantastic,False,fantastic,fantast,JJ
and,True,and,and,CC
I,True,I,i,PRP
I,True,I,i,PRP
hated,False,hated,hate,VBD
the,True,the,the,DT
film,False,film,film,NN
",",False,",",",",","
it,True,it,it,PRP
The,True,The,the,DT
storyline,False,storyline,storylin,NN
was,True,wa,wa,VBD
boring,False,boring,bore,VBG
An,True,An,an,DT
amazing,False,amazing,amaz,JJ
movie,False,movie,movi,NN
with,True,with,with,IN
a,True,a,a,DT
great,False,great,great,JJ
Egypt,False,Egypt,egypt,NNP
movie,False,movie,movi,NN
",",False,",",",",","
I,True,I,i,PRP
regret,False,regret,regret,VBP
wasting,False,wasting,wast,VBG
The,True,The,the,DT
actors,False,actor,actor,NNS
did,True,did,did,VBD
a,True,a,a,DT
great,False,great,great,JJ
job,False,job,job,NN
One,False,One,one,CD
of,True,of,of,IN
the,True,the,the,DT
best,False,best,best,JJS
films,False,film,film,NNS
I,True,I,i,PRP
have,True,have,have,VBP
seen,False,seen,seen,VBN
in,True,in,in,IN
This,True,This,thi,DT
film,False,film,film,NN
was,True,wa,wa,VBD
just,True,just,just,RB
okay,False,okay,okay,RB
",",False,",",",",","
Absolutely,False,Absolutely,absolut,RB
loved,False,loved,love,VBD
the,True,the,the,DT
movie,False,movie,movi,NN
",",False,",",",",","
fantastic,False,fantastic,fantast,JJ
plot,False,plot,plot,NN
and,True,and,and,CC
The,True,The,the,DT
movie,False,movie,movi,NN
was,True,wa,wa,VBD
disappointing,False,disappointing,disappoint,JJ
",",False,",",",",","
